,Title,Company,Rating,Location,Salary,Post_date,Extract_date,Job_url
0,Senior Data Scientist,CyberCoders,3.4,"['Lake Forest, CA 92630+2 locations']",,1 day ago,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t4ijXWY0KagXXYtcb1hg_LCWqZgg1T7pWbwiQquib8yP6PXJ2cZsddiHXpDGYTkFeU-kPNxv54H0E2HUJchi7dwpF9UM6sD21ckv5ir1x4U8jaso1rq7CbbwEc1siQnu19cI63M18b8ho__djSEfn7M8ttmvFSJP5993fDI5EZumMyRUl712bC1KHJ5Ts9fNHOFCXni0XIivEtkEk0ZJeWrPyHxWZXpgrfl3oYv5s9Ac9dr5m4coIC51uZ_gekplvl_xE8SsCd3WHofc1qZKD-VhSBtt4TSP3PwBU0Zs2qDQPNX20fCVAqVES8gcDyyroEmsnWWdIRkOGB0SWR4bi3ny2rTIEr6wiCscdRh1WY3fqIt5xO8qQ0E4i9YhkkX5oZfcOyyUpjZIOp92xyG7T6ptCKRu3Kv3B2XjGd8ke6x9BS1qdII6re6LHOcBS87p0-y-pgCJZPPBGb1edyLqw6ykIHLbilgcINul7dGxy-Q9kpjdT1PgX8PBsZojnWwUCa3i6p_jitzDZnuqH4WnA_gLvLlkOMdzhZnSdUV-puydb6nbQDQ_Uqq7Y06U4-iNd1e_ZuC6z3U_Ww53bJ_FRsixTzogYTiMuAFmYC267CQ0-cM8bDy89craXp-MttKi8a6yT9TIfpdMStzewvXFnwKf8117BzVqK3FlHqsnCv2jTipWwwbfrYedR7p-sr8RwRtW2rfKGwrae0XahcXcIcJTqyOJW5lsVlSv6vezfWrZtwPmjzEuiRLFRovJCZVANIW8axjA07Ek2KlDeMmgUIYzF4CfWSmdRji32gpqQ8YXEfmu6q546Wvb4d53zpqdBEkrAmgtGhQbN2p6QzfoLs5TS-QGcVvryhbUeiy7uBo2ULCnY7J9T-LDoDilOfJWjDBYeZAjvzAuc515mhrKOOKZh3UVHsrnl3T69aExhVPSQ==&p=1&fvj=0&vjs=3
1,Principal Data Scientist,DISYS,3.5,"['Colorado Springs, CO 80909 (East Colorado Springs area)•Temporarily Remote']",$65 - $75 an hour,Today,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BTYkY06FZEdAAtNWO-eDAfNklmfZymsMF6eFRONl7rAMN5x_2sHrqXfWPo9rHDxSMpy4M4InVbh0kUmYsWODTOjdCy2M3B9QEy7XcO3zzhYpnc-KiGh3n1-nq3LpnbvMN5DwnJ4Z7w3GxchnqX8w6OXpWs2-HOUmI_i-LjI0B1zUFynaaG6pf9XJw5F83TfZYvT9TzDbIpflKsQeKfZfDkjlKhZeD-CrvlTpCs8dUyhIAiR5usWk2HjEE6jvAtHgI05XUtJXH7RUql2jLqAgrvjfOqx4U8N-yF3EQphniMJK3oPSA-HNePrPiDYr6R54qUyfLYBTPEa5Ykqwuk8d1RQK0uJmphIsFOx7pp0jM8foUGuU-PGyV8h-zhUTopXIbOnmL4JpC_wF1no5nDma-n_UkT_gLOiI3vRZNUXBglEP1JJ2BgN5J-yctY6kwaiax_2xj1KXJsMGSBjdSimlLqmoEnIoU4RlBk0TGPd_ntMNjR4QOKdsfm-EPnH6NapvaFX4FbFMzt3g==&p=2&fvj=1&vjs=3
2,Data Scientist,Insight Global,3.9,['+1 locationRemote'],$65 - $75 an hour,3 days ago,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCobj99dZAfyuabIV-dEThHXabF8I_ncZ4XmSxTp_gBL9k0K2fh_zNk0kanbJn67AlknYLwYdkcubcMznAK96Exkd1rKCnzEn0gFKzrWpXuZHFuUJe7eWiKeWXQc5Wz1FEIYU4HwYqz3eDK4_N0ni4GsL2bcb8BJuVEz74CG5uFF3PA66uYr3uvdHoNfXZgeSasKM94HNf5BIxD57lMif_G21Vp8jRrw6Qd0aRF7RaYzlAC8vTyF4k2GEgDMbwA9rGFXcIme_FQ3SCe3LqWbYSjKhLytFg-JYjoQRRl1_-2fSp1CDlA46C-RqxMFuoKqB07VeNfb7EdVgre1dxvnwnBlhECQqKXHUzX8vXG3KUMXmSqZFytmdfB3Ywak54MuXbiXs_QZKpffsbaZkZYvWWolnBsDEw4uByHC4aHuwhRFaMzXth6Ybe4ctO8Il8nxZIVbD_d3isRyjghPhDzrmXC4=&p=3&fvj=1&vjs=3
3,Data Scientist,Pri Global Inc,,"['San Francisco, CA•Remote']",$50 - $55 an hour,3 days ago,2021-09-18,https://www.indeed.com/company/Pri-Global-Inc/jobs/Data-Scientist-696de3a652138874?fccid=c4b2671bac36a1ad&vjs=3
4,Software Engineer - Data Scientist,RefleXion Medical,3.5,"['Hayward, CA 94545 (Glen Eden area)']",,Today,2021-09-18,https://www.indeed.com/rc/clk?jk=56c53f54d630758a&fccid=4ef84be60c005346&vjs=3
5,Data Scientist,Tinder,3.6,"['San Francisco, CA']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=84bc63a791b9ec79&fccid=47feb0effe4ed4f2&vjs=3
6,"MACHINE LEARNING, AWS, PYTHON-DATA SCIENTIST",Talent Search PRO,,"['San Francisco, CA']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=7881c4badc07940e&fccid=03e38d4a50ed7d67&vjs=3
7,Pricing Data Scientist/Economist,Perch,3.0,"['Boston, MA']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=2ea4f460fd8e7ba8&fccid=08211ca3b560b505&vjs=3
8,Sr. Data Scientist,omega solutions inc,3.6,"['Santa Ana, CA']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=0fe8f621f4c0a156&fccid=9e399301940ed66e&vjs=3
9,Machine Learning and Data Science Applied Scientist,Gauss Labs Inc,,"['San Jose, CA']","From $160,000 a year",2 days ago,2021-09-18,https://www.indeed.com/company/Gauss-Labs-Inc/jobs/Machine-Learning-Data-Science-Applied-Scientist-2d5b0e6670a28ebe?fccid=5e6c775bd0dd3d23&vjs=3
