,Title,Company,Rating,Location,Salary,Post_date,Extract_date,Job_url,Salary,Job Type,Number of hires for this role,Qualifications,Description
0,Software Developer,"Nolrick, LLC",,['Remote'],$75 - $85 an hour,Active 4 days ago,2021-09-06,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A22AqxD6xCtO5k_K9vI3RbbX-DvRpquZmsLGoYI2JTPaiVASB91oGLSQnWbDg-5iLeTDSclixTp7mReAVNMi-jaS96aO7Dgb_-4VQ8uutXU-EJnTrRRy4QQGMkjMUxVFjV9OKMjYgUbAsWbDtuCial5gfifmUjRRb_SMfBGoOJQ-kwHxzVwL0ICtu6IVW0tV4Wq6o-YNQFrP05u10i18zL5t4k0KM2Yau0on2cSir7gy35M9cPLWoxiaFq4hiMu0Uycr7ZJRBHkp-T3KQYqFRExirPGMK-Zty_qzUm_AYxKpGOrKts71NMyFYKQUnY1OIHSBhomlNJh3YljikOwGG5K1ns1ogaN9XPzhN6QzSYEPlqU_btX-u69sLBD6UDGTC44gzyD-xQhbP7Fi7E-fAdIxy2hBbX3yeVf0aGfDEjjdSfa3NlUdoOduZBRoNLpci2ovXK5ook8_las91RGyFCDAVLEVuFKefxVjkBGLwwuLJC6hrrliXu&p=0&fvj=1&vjs=3,['$75 - $85 an hour'],"['Full-time', 'Contract']",['1'],"['Associate (Preferred)', 'REST: 1 year (Preferred)', 'Java: 1 year (Preferred)', 'Clojure: 1 year (Preferred)']","<bound method PageElement.format_string of <div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p><i>Software Developer / Clojure </i><br/><b>Job Description: </b> Software Developer/Engineer using Clojure, JavaScript and React. Full Stack developer working with server and client side design and development. Will be involved with the full life cycle from design, development and deoployment..</p><ul><li>Will be using Clojure, JavaScript, React or other frameworks.</li><li>Develop using databases such as SQL and Datomic</li></ul><p><b>Preferred Skills: </b></p><ul><li>Clojure, ClojureScript, JavaScript, and React</li><li>SQL and Datomic databases</li></ul><p>Job Types: Full-time, Contract</p><p>Pay: $75.00 - $85.00 per hour</p><p>Schedule:</p><ul><li>Monday to Friday</li></ul><p>Application Question(s):</p><ul><li>Are you willing to undergo a background check, in accordance with local law/regulations?</li></ul><p>Education:</p><ul><li>Associate (Preferred)</li></ul><p>Experience:</p><ul><li>REST: 1 year (Preferred)</li><li>Java: 1 year (Preferred)</li><li>Clojure: 1 year (Preferred)</li></ul><p>Work Location:</p><ul><li>Fully Remote</li></ul></div>>"
1,"Software Engineer, Entry-Level (2022)",Coursera,4.3,"['Mountain View, CA 94041•Remote']",,3 days ago,2021-09-06,https://www.indeed.com/rc/clk?jk=c03152d8491f722b&fccid=ef63980be6005ec6&vjs=3,,['Full-time'],,,"<bound method PageElement.format_string of <div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><div><div>Coursera was launched in 2012 by two Stanford Computer Science professors, Andrew Ng and Daphne Koller, with a mission to provide universal access to world-class learning. It is now one of the largest online learning platforms in the world, with 87 million registered learners as of June 30, 2021. Coursera partners with over 200 leading university and industry partners to offer a broad catalog of content and credentials, including Guided Projects, courses, Specializations, certificates, and bachelor’s and master’s degrees. Institutions around the world use Coursera to upskill and reskill their employees, citizens, and students in many high-demand fields, including data science, technology, and business. Coursera became a B Corp in February 2021.</div><div></div><div><br/>
As an engineer at Coursera, you will be empowered to build well-engineered products that shape new platform features and advance our technical infrastructure. You will be encouraged to build reliable, scalable, testable, and efficient systems.</div><div></div><div><br/>
We innovate, productize, and iterate at start-up speed, deploying our code over 25 times a day. When you join our team, you will be given the opportunity to take ownership of significant parts of our codebase. Check out life at Coursera on The Muse!</div></div>
<div><div><h3 class=""jobSectionHeader""><b>Some Cool Projects our Entry Level Software Engineers worked on:</b></h3><ul><ul><li>
VM-less Frontend Development, allowing frontend developers to develop JavaScript applications without installing the entire Coursera stack on our laptops</li><li>
Scaling Content Production, building better tooling and visualization to simplify and accelerate the content creation process for our instructors</li><li>
Rewriting the mobile download experience which boosted accessibility of downloads by creating a download widget on course outlines and wrote a downloads API to use throughout entire app</li><li>
Building UI for a message inbox within the course experience, helping learners keep up-to-date with communications from course instructors and Coursera as they go through the course</li></ul></ul></div></div>
<div><div><h3 class=""jobSectionHeader""><b>Your Responsibilities</b></h3><ul><ul><li>
Rapidly innovate on products and scalable infrastructure with a fail fast mindset</li><li>
Implement features using cutting edge technologies (i.e. React.js, Scala, Swift, Kotlin)</li><li>
Work in a cross functional team of engineers, PMs, designers, and UX researchers</li><li>
Own projects and drive scoping and prioritization decisions</li><li>
Measure your work thoroughly, analyze results, and drive new product changes through A/B testing</li></ul></ul></div></div>
<div><div><h3 class=""jobSectionHeader""><b>Basic Qualification</b></h3><ul><ul><li>
Education in software engineering, computer science or a related field; either as your major or minor in college, as part of a coding bootcamp, or via taking courses, including some of our own</li><li>
Experience in software engineering or related internships or experience with software engineering/computer science projects
</li></ul></ul></div></div><div><div><h3 class=""jobSectionHeader""><b>Preferred Qualification</b></h3><ul><ul><li>
Strong oral and written communication skills</li><li>
Ability to work on a team and learn quickly</li></ul></ul></div></div>
<div><div>Coursera is an Equal Employment Opportunity Employer and considers all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, age, marital status, national origin, protected veteran status, disability, or any other legally protected class.</div><div></div><div><br/>
If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, please contact us at accommodations@coursera.org.<br/>
</div><div></div><br/>
<div>Please review our CCPA Applicant Notice here.</div></div></div></div>>"
2,Software Development Engineer - Frontend,Quick Quack Car Wash,3.9,['Remote'],"$90,000 - $120,000 a year",Active 4 days ago,2021-09-06,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AIc2Kr5Ju-3J4TySeuVpV4urmqI_h3YJOrEY5Ynbw2Vjdu3JK4QhL77tFEEqaIoxG9m4-oII4Uo_ml28gSei260YLaNsZjWxkjtV2wsg4_eNWtxoFkShzhWZoQu8f7DhZlP8poTbxRP2FwyVbOOjbAdDWxzOaF4YLeENuYKbr6nxe42LVs-_sMBbis-2LV_GgFIOu_LvrgYRwZ34GnA1aaGXOpxc8xbG2rCQvVjyPWGC6CH8y1gy-cSzIhN1ZcnCfRkjqNfQ4_F8NK2Uvdr16Em4GsdTR_fgQyIrfGSkLshhHq6vtZFee95XZsMmjMy4Y26tHv2XpO0dWttzL_8CBT6XfkI5kObxUFgyAoytIUxuF9sCbIkUcyIW43_9bgLa0h-WwDSohuXRWbssJGbcPygPUJjvV0ImK47TMGtlN0Yl7_PkyI8RZMedxvmhkHYsJbMfQdokznuvQGzR2BIoEojB4PkMAFcEuXLWuY97tT6VfHAW6t1k0OjHYGGPKD0z1BAT8B7ROSYg==&p=2&fvj=1&vjs=3,"['$90,000 - $120,000 a year']",['Full-time'],['1'],"['Front-end development: 1 year (Required)', 'CSS: 1 year (Required)', 'Angular: 1 year (Required)', ""Bachelor's (Preferred)""]","<bound method PageElement.format_string of <div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p>Opportunity</p><p>Quick Quack offers an exceptional opportunity for a Software Developer Engineer to be an integral part of our successful, growing business. This role will have a huge impact on our customer facing portal as we build it from the ground up. They will assist in designing and developing the app and building a testing framework for supporting it on the many mobile devices and browsers. This role will work with a team of developers to ensure all code meets professional standards, and business objectives are met. S/he will be expected to provide input on design and implementation in team environment as well as work closely with other developers across other products.</p><p>Responsibilities</p><p>· Work within a team to design, develop and support multiple products.</p><p>· Evaluates user requests for development and modification of applications to determine feasibility, cost and time requirements, and system compatibility.</p><p>· Have a customer focused mindset to create the best solutions for the user.</p><p>· Stay up to date on the latest advances and technologies. Share knowledge with others.</p><p>· Owns the support for the products and responds to incidents outside of normal working hours.</p><p>Skills &amp; Requirements:</p><p>To apply, you must have at least three years of professional experience developing software applications and good knowledge of the following technologies:</p><p>· Typescript, CSS, HTML</p><p>· Angular/React</p><p>· Automated UI test frameworks</p><p>· Thorough understanding of HTTP and RESTful APIs</p><p>You must also have the following business skills:</p><p>· Enjoy working with others in a team atmosphere. Prefer a small-business, fast-paced working environment.</p><p>· Enjoy maintaining/enhancing code to meet changing customer and industry needs.</p><p>· Ability to think critically and work through problems while recommending code improvements to better the products. We are looking for a system design contributor and not a ""task master"".</p><p>· Knowledge of correct English usage, spelling, punctuation, grammar, and composition.</p><p>· Ability to act independently and make minor decisions based on established procedures.</p><p>Company Background</p><p>Headquartered in Roseville, California, Quick Quack Car Wash owns and operates over 100 locations in the western United States. Quick Quack takes pride in being regularly recognized as “the Innovative” car wash in the industry. Additionally, Quick Quack has been recognized as an environmentally friendly and sustainable business.</p><p>Quick Quack has established a culture of exceptionally talented people in a great work atmosphere, committed to a special set of values:</p><p>· Excellence Through Teamwork. The Quick Quack team supports an environment of trust and respect, where all are held accountable and successes are celebrated. Ideas, issues, and expectations are communicated openly. Teams pull together and work through complex topics, and ideas and learnings are regularly shared.</p><p>· Operational Strength. All take responsibility for quality and continually seek opportunities for improvement. This includes not only our personal skillsets, but also the code we develop and deploy.</p><p>· Every Member is a Leader. While they find strength in teamwork, each Team Member’s individual attitude and actions also influence the success of the company and those they serve. Individual goals are set alongside goals of the company and fellow Team Members help each other to reach them.</p><p>· Experts in our Industry. Team Members grow in their ability and knowledge about our products and services, as well as industry standards. All Team Members take responsibility to participate in opportunities for technical, personal, and professional advancement. We take pride in the vertical integration that our company has achieved through our expertise.</p><p>· Commitment to the Customer. Every Team Member is responsible for delivering best-in-class customer experiences. Team Members achieve this through honest, welcoming, and helpful communication, and demonstrate pride through maintaining a supportive and professional disposition. Each Team Member is an integral part of Quick Quack. Through individual and collective excellence and commitment, they aim to provide not only their best, but also the very best of the car wash industry.</p><p>Job Type: Full-time</p><p>Pay: $90,000.00 - $120,000.00 per year</p><p>Benefits:</p><ul><li>401(k)</li><li>401(k) matching</li><li>Dental insurance</li><li>Employee discount</li><li>Health insurance</li><li>Paid time off</li><li>Vision insurance</li></ul><p>Schedule:</p><ul><li>8 hour shift</li><li>Monday to Friday</li></ul><p>Education:</p><ul><li>Bachelor's (Preferred)</li></ul><p>Experience:</p><ul><li>Front-end development: 1 year (Required)</li><li>CSS: 1 year (Required)</li><li>Angular: 1 year (Required)</li></ul><p>Work Location:</p><ul><li>Fully Remote</li></ul></div>>"
3,Associate Software Engineer,Paylocity,3.6,['Remote'],,11 days ago,2021-09-06,https://www.indeed.com/rc/clk?jk=93918a213f730257&fccid=761110cb1eadb0d9&vjs=3,,,,,"<bound method PageElement.format_string of <div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><p><b>Don’t just land a job. Launch your future.</b></p><p>
Our all-in-one software platform gives HR pros a way to easily manage daily tasks in payroll, benefits, talent, and workforce management.</p><p>
But what makes us different is that our technology is backed by a culture that cares. We care about our team members, clients, and partners – because people matter most. And people have always been at the heart of our business.</p><p>
Since our founding in 1997, this is the thing that's stayed the same, from our employees to the millions of users nationwide that access our platform. We pride ourselves on partnering with our clients to build the workplace they and their employees crave.</p><p></p><p><b><br/>
Let's go forward together.</b></p><p></p><p><b><br/>
Position Overview:</b></p><p>
Make an impact in tech and launch your future career with Paylocity. We work in small agile product-oriented teams where we innovate, collaborate, and bring amazing products to market. Our technology anywhere philosophy nurtures a diverse and dynamic group of colleagues with a shared mission to make great products and have fun doing it. Join our new 18-month New College Grad on-boarding program and develop to your full potential. After successfully completing the program, you will be placed on one of our product teams and continue to be able to work remotely from anywhere.</p><p>
As a member of one of our product teams, you will be responsible for creating, enhancing, and supporting common features. Working side-by-side with Product Owners, Quality Assurance Engineers, and Business Stakeholders, our Associate Software Engineers are actively involved in the complete software development life cycle in an agile environment including technical design, hands-on coding, unit testing, performance tuning, maintenance, test automation, deploys and upgrades. <b>Are you the teammate we are looking for?</b></p><p></p><p><b><br/>
Our next ASE NCG Cohort will begin January 2022 and July 2022.</b></p><p></p><p><b><br/>
Requirements:</b></p><ul><li>
Bachelor's degree in a computer science, software engineering, computer engineering or technology related field with an emphasis in software development</li><li>
Demonstrable proficiency with an object-oriented language (e.g., C#, Java, C++)</li><li>
Demonstrable knowledge of object-oriented design and development</li><li>
Effective working ability in an agile and team environment</li></ul><p></p><p><b><br/>
Preferred Skills:</b></p><ul><li>
Previous internship experience in a technology-oriented role preferred</li></ul><p><b>
Soft Skills :</b></p><ul><li>Curiosity and candor; the quality of the idea wins the</li><li>Effective and creative problem-solving skills</li><li>Enthusiastic about developing the best software available and providing the ultimate customer experience</li><li>An advocate for continuous improvement of our software development process</li><li>Interested in staying current by applying new technologies</li><li>Ability to work in a collaborative environment with a willingness to share your ideas</li><li>Ability to work independently on modules and complete tasks with high quality and contribute to high velocity, but unafraid to seek out suggestions from other team members</li><li>Excited to be creative and innovative while working on cutting-edge technology</li></ul><p></p><p><b><br/>
Our journey forward.</b></p><p>
Paylocity strives to create an organizational culture where every employee has a voice, feels truly welcome, appreciated, and free to be themselves, and is empowered and enabled to do their best work. A strong commitment to diversity, equity, and inclusion is critical to creating such a culture.</p><p>
We’ve made great strides to support diversity, equity, and inclusion. That being said, we realize there’s still room for improvement. Our current focus is on the following initiatives:</p><ul><li>Education &amp; Awareness</li><li>Client Community</li><li>Company Representation</li><li>Advocacy &amp; Support</li><li>Fairness &amp; Equality</li><li>PCTY Gives</li></ul><p></p><p><br/>
Want to learn more, click here to access our DEI flipbook. https://www.flipsnack.com/paylocitycom/diversity-equity-and-inclusion.html</p><p></p><p><br/>
This job description has been written to provide an accurate reflection of the current job and to include the general nature of work performed. It is not designed to contain a comprehensive detailed inventory of all duties, responsibilities, and qualifications required of the employees assigned to the job. Management reserves the right to revise the job or require that other or different tasks be performed when circumstances change.</p></div></div>>"
4,Software Engineer-Backend,King Energy,,['Remote'],"$125,000 - $165,000 a year",Active 3 days ago,2021-09-06,https://www.indeed.com/rc/clk?jk=d550dc2286e90f13&fccid=31df59b6d6765e81&vjs=3,"['$125,000 - $165,000 a year']",['Full-time'],,,"<bound method PageElement.format_string of <div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><p><b>Company Overview</b></p>
<p>King Energy is a next generation energy company.</p>
<p>We install solar power at multi-tenant commercial properties, such as shopping centers, office buildings and medical plazas, and provide the power we generate to the businesses at the property.</p>
<p>Our goal is to turn open rooftops into sources of clean, renewable power, and to do this in a way that generates increased rent revenue for property owners and lowers energy costs for small, local businesses.</p>
<p>We have a welcoming culture that highly values intelligence and hard work.</p>
<p><b>Position</b></p>
<p>King Energy is looking for a Software Engineer to help us build out our backend systems and infrastructure. You'll have an opportunity to contribute to the core plumbing that powers King Energy's product suite in addition to greenfield end-to-end feature development. You'll be responsible for building complex systems like our energy usage data pipeline as well as our billing and payments systems.</p>
<p>This position is a part of the Technology organization and reports to the Chief Technology Officer.</p>
<p>As a Software Engineer you will be responsible to:</p><br/>
<ul><li>Help define the future of and contribute directly to King Energy's core product platform and infrastructure</li><li>
Create clean abstractions for performant services that will be used by King Energy's feature teams</li><li>
Help build the next generation of King Energy's billing platform</li><li>
Borrow from your experience to help us up-level our team's technology and processes as we scale and iterate rapidly</li><li>
Be a steward of core security and design principles</li></ul>
<p>Requirements and Qualifications:</p>
<ul><li>3+ years experience building and maintaining production software in a back end focused or generalist role</li><li>
Someone who can own and drive technical decisions with a grounding in solving problems for our customers and business</li><li>
Ability to flex into front end development when necessary for the needs of the business</li><li>
Someone that thrives in a highly collaborative and fast paced environment</li><li>
A willingness to learn on the job and take on tasks as needed</li><li>
Excellent communication skills</li><li>
Ability to work independently and communicate over the phone and with video chat software, such as Zoom</li><li>
Bonus if you have FinTech, Start Up and/or Solar domain experience, familiarity with billing and payments systems, or direct experience with Node, TypeScript, ReactJS and/or Amazon Web Infrastructure</li></ul>
<p>Location:</p>
<ul><li>Fully Remote</li></ul>
<p><b>Compensation</b></p>
<ul><li>Base salary range for this position is $125,000 - $165,000 and is based upon years of experience that is commensurate with the level of the position in addition to location</li><li>
Stock options with significant upside potential</li><li>
Participation in company's benefits program: medical, dental, vision, disability, life, 401k</li></ul></div></div>>"
5,"Software Engineer, University Graduate - 2022 Start",TikTok,3.6,"['Seattle, WA+2 locations']",,5 days ago,2021-09-06,https://www.indeed.com/rc/clk?jk=21cc96f8ed47d56d&fccid=caed318a9335aac0&vjs=3,,,,,"<bound method PageElement.format_string of <div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.
<br/><br/>
As a TikTok University Graduate Engineer, you'll have the chance to work with our clients and teams to address key business problems and identify areas of growth for the company. With your education and experience, you will be able to take on real-world challenges from day one.
<br/><br/>
By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, San Francisco, CA and Bellevue, WA.
<br/><br/>
<b>Application deadline:</b> February 15th, 2022
<br/>Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is firm and includes all campus jobs globally. Applications will be reviewed on a rolling basis and we encourage you to apply early.
<br/><br/>
<b>Teams:</b><br/>
<ul>
<li>Monetization Product</li>
<li>Applied Machine Learning</li>
<li>Data System</li>
<li>Data Platform</li>
<li>Data Trust and Safety</li>
<li>Data Architecture</li>
<li>Search</li>
<li>Intelligent Creation</li>
<li>Intelligent Creation Effect</li>
<li>TikTok Engineering</li>
<li>Privacy and Security</li>
<li>Interactive, Entertainment, Social</li>
<li>Client Infrastructure</li>
<li>Central Product Platform</li>
<li>Technical Infrastructures</li>
<li>Live Streaming</li>
<li>Multimedia Lab</li>
<li>Video on Demand</li>
<li>Security</li>
<li>TikTok Data</li>
<li>Privacy and Data Protection</li>
</ul>
<b>Responsibilities:</b><br/>
<ul>
<li>Build new features that touch hundreds of millions of people around the world</li>
<li>Solve unique, large-scale, highly complex technical problems</li>
<li>Partner with PMs, designers, engineers from different teams on building backend support for mobile application</li>
<li>Participate in technical discussions related to team's product and engineering work</li>
<li>Bachelor's or Master's degree in Computer Science or related fields or equivalent practical experience</li>
<li>Experience with coding in Python, Java, Golang, C#, or C++</li>
<li>Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment.</li>
</ul>
<b>Preferred Qualifications:</b><br/>
<ul>
<li>Demonstrated software engineering experience from previous internship, work experience, coding competitions, or publications</li>
<li>Curiosity towards new technologies and entrepreneurship</li>
<li>High levels of creativity and quick problem-solving capabilities</li>
</ul>
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.
<br/><br/>
TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at Accommodations-AMS@tiktok.com.</div>>"
6,University Grad Software Engineer (USA),Pinterest,4.2,"['Seattle, WA 98101 (Denny Triangle area)']",,5 days ago,2021-09-06,https://www.indeed.com/rc/clk?jk=4b7d149a76d895ec&fccid=43014b1412e0a7b6&vjs=3,,['Internship'],,,"<bound method PageElement.format_string of <div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><p>About Pinterest:
</p><p>Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.</p><p>
PLEASE ONLY APPLY FOR THIS POSITION ONCE - USA or Canada. Location preferences are specified within the job title. Multiple applications may delay our recruitment process.</p><p>
As a university grad at Pinterest, you’ll take the lead in both solving scoped problems and contributing to projects while learning and growing within your team. This role is as much about learning as it is about doing and making an impact. We’re looking for passionate university grads that are excited to build awesome products and features, create visually rich experiences, spearhead the discovery problem, and pinpointing tomorrow’s engineering challenge as we maneuver through exponential growth and massive scale.
</p><p>What you’ll do:</p><ul><li>
Deliver code that is well-documented, tested, and operable</li><li>
Independently take ownership over the completion and quality of your tasks and project</li><li>
Execute scoped technical tasks end-to-end in collaboration with cross-functional Pinployees to help build the future of Pinterest</li><li>
Effectively and proactively communicate new ideas and opinions with candor as you grow both professionally and personally through learning and development opportunities</li></ul><p>
What we're looking for:</p><ul><li>
Completing a degree in Computer Science or related technical field</li><li>
Experience in previous software engineering internships</li><li>
Proficiency in a dynamic programming language such as Python</li><li>
Strong communication skills and product sense</li><li>
Passion for Pinterest and the ability to manage ambiguity and continually learn from your experiences</li></ul><p>
#LI-KR1</p></div>
<br/>
Not Specified
<br/>
0</div>>"
7,"Mobile Software Engineer, University Graduate - 2022 Start",TikTok,3.6,"['San Francisco, CA+2 locations']",,5 days ago,2021-09-06,https://www.indeed.com/rc/clk?jk=1a5fa11d2188c454&fccid=caed318a9335aac0&vjs=3,,,,,"<bound method PageElement.format_string of <div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul, and Tokyo.
<br/><br/>
As a TikTok University Graduate Engineer, you'll have the chance to work with our clients and teams to address key business problems and identify areas of growth for the company. With your education and experience, you will be able to take on real-world challenges from day one.
<br/><br/>
By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, San Francisco, CA and Bellevue, WA.
<br/><br/>
<b>Application deadline:</b> February 15th, 2022
<br/>Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is firm and includes all campus jobs globally. Applications will be reviewed on a rolling basis and we encourage you to apply early.
<br/><br/>
<b>Teams:</b><br/>
<ul>
<li>Intelligent Creation</li>
<li>Privacy and Security</li>
</ul>
Responsibilities
<br/><ul>
<li>Build new features that touch hundreds of millions of people around the world</li>
<li>Solve unique, large-scale, highly complex technical problems</li>
<li>Code high quality features on Android or iOS using Java, Kotlin, Objective-C, or Swift</li>
<li>Partner with PMs, designers, engineers from different teams on building new features on mobile application</li>
<li>Participate in technical discussions related to team's product and engineering work</li>
<li>Bachelor's or Master's degree in Computer Science or related fields or equivalent practical experience</li>
<li>Experience with Objective-C, Swift, Java, Kotlin, Golang, Python, or C++</li>
<li>Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment</li>
</ul>
Preferred Qualifications
<br/><ul>
<li>Demonstrated software engineering experience from previous internship, work experience, coding competitions, or publications</li>
<li>Curiosity towards new technologies and entrepreneurship</li>
<li>High levels of creativity and quick problem-solving capabilities</li>
</ul>
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.
<br/><br/>
TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at Accommodations-AMS@tiktok.com.</div>>"
8,Software Developer,Iowa Food Foundation,,['+1 locationRemote'],$50 - $90 an hour,Today,2021-09-06,https://www.indeed.com/company/Iowa-Food-Foundation/jobs/Software-Developer-8b39e32c0e9ad109?fccid=3a332e8cdb6d4a9b&vjs=3,['$50 - $90 an hour'],"['Part-time', 'Contract']",['1'],['Software development: 2 years (Preferred)'],"<bound method PageElement.format_string of <div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p>What we offer</p><p>The Iowa Food Foundation 501(c)(3) dedicated to strengthening and expanding our local food system and regenerative agriculture practices.</p><p>IFF owns a new web application (https://shop.iowafood.coop/) that is used to buy and sell local foods online. We worked together with the Iowa Food Cooperative during development because their 12+ years of experience marketing local foods online provided the perfect model to build upon. Currently the IFC is the only customer using the app, however after more testing and tweaking is done, we plan to open source the project to other groups with our passion to expand local food accessibility online.</p><p>We took great care to ensure the new application is built on standard technologies and is well documented.</p><p>Join us in this exciting project and play a major role!</p><p>What is expected</p><p>The new software already does everything the previous app did, so feature development is not our main priority. You will be the only developer handling technical tasks which include the following:</p><ul><li>maintain server availability</li></ul><ul><li>prioritized bug fixes reported by IFC</li></ul><ul><li>provide monthly invoices of work conducted with time spent</li></ul><ul><li>updated software deployment as needed</li></ul><p>Extra work which is welcomed if experience and time allows:</p><ul><li>Implement new features to improve the user experience</li></ul><ul><li>Work with IFF to prioritize feature requests and product direction</li></ul><ul><li>Eventually take part in sharing this app in the open source community.</li></ul><p>Preferred experience:</p><p>This role is best suited for a developer with 3+ years of Software Development experience.</p><p>We prefer experience with the primary technologies in our stack:</p><ul><li>JavaScript</li></ul><ul><li>Express.js</li></ul><ul><li>SQL</li></ul><ul><li>HTML &amp; CSS</li></ul><ul><li>Linux command line</li></ul><p>We do not require, but would value experience with:</p><ul><li>MySQL</li></ul><ul><li>Handlebars</li></ul><ul><li>Bootstrap</li></ul><ul><li>JQuery</li></ul><ul><li>Node</li></ul><ul><li>NGINX</li></ul><p>This position is offered as a 1099 independent contractor position with a minimum of 3 hours per week and a maximum that will be determined by an agreement between the developer and IFF. Salary is negotiable depending on experience, $50-$90/hour. If server maintenance is required after normal working hours (M-F 8AM - 5PM Central Standard US time) salary rate will be 1.5 X normal rate.</p><p>Job Types: Part-time, Contract</p><p>Pay: $50.00 - $90.00 per hour</p><p>Schedule:</p><ul><li>On call</li></ul><p>Experience:</p><ul><li>Software development: 2 years (Preferred)</li></ul><p>Work Location:</p><ul><li>Fully Remote</li></ul></div>>"
9,Jr. Software Engineer,First Advantage Corporation,3.5,['Remote'],,3 days ago,2021-09-06,https://www.indeed.com/rc/clk?jk=6a3623ebfdf7845e&fccid=66ec34080919587d&vjs=3,,['Full-time'],,,"<bound method PageElement.format_string of <div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><p>We’re looking for Junior Software Engineers! You’re our ideal candidate if you around one year of application development experience in Java, C#, or Javascript languages. We’re looking for individuals who are excited to work in an Agile environment, and who have a strong desire to develop into a Full Stack Engineer. If this sounds like you, you could be a great fit!!!</p>
<p>Our Engineers at First Advantage own their solutions and outcomes by developing code that will drive the next generation of background screening. Joining our team right now is an incredible opportunity to be on the ground floor of our technology transformation, and will give you a chance to make a real difference!</p></div>
<br/>
<div><p><b>Minimum Requirements</b></p>
<ul><li>Bachelor’s Degree in Computer Science or related field</li>
<li>1+ years of application development experience (or equivalent combination of internships) in one or more of the following:</li>
<li>Backend: Java or C#</li>
<li>Frontend: Angular 4+ or React</li>
<li>Desire to learn all layers of the stack from front-end UI to databases and model layers</li></ul></div><p></p></div>>"
